Temperature (Â°C),Humidity (%)
43.2,12
45.5,23
36.5,49
20.8,46
36.5,91
40.3,66
43.4,42
40.9,49
19.4,67
48.0,81
45.0,21
31.0,16
47.1,19
40.4,17
37.0,30
15.9,25
45.1,42
27.6,13
47.4,79
26.0,67
47.9,14
24.1,86
29.2,58
42.7,27
37.5,16
32.0,24
24.8,91
29.3,11
40.3,51
16.6,83
43.7,30
39.9,63
18.9,21
29.6,84
49.7,22
16.3,29
46.8,42
46.9,62
32.3,53
17.9,38
29.2,50
28.8,11
33.9,56
27.2,33
43.7,71
19.9,72
37.3,69
37.6,69
18.8,78
32.5,23
42.7,39
41.3,13
44.3,72
47.3,67
46.7,84
20.4,24
29.2,92
41.8,44
37.7,94
15.2,34
16.9,31
37.7,11
31.1,54
27.4,72
26.5,77
26.5,90
28.4,25
48.7,14
48.3,40
41.9,77
23.9,90
47.8,48
40.8,34
45.2,30
49.2,56
45.8,35
18.6,51
27.5,47
20.0,26
21.3,95
21.4,26
46.9,50
26.2,40
18.8,69
33.0,61
34.3,42
49.2,71
49.5,91
28.4,76
49.5,20
18.1,63
34.2,78
44.4,76
30.9,68
23.4,63
30.9,89
24.8,22
21.8,75
41.2,92
21.5,22
40.8,23
37.5,66
16.2,83
38.1,59
26.3,78
48.6,49
22.6,74
34.1,38
39.4,73
23.2,65
26.1,82
30.0,88
35.6,51
27.9,68
25.7,60
20.5,47
20.4,25
17.6,47
48.9,37
41.5,63
26.4,55
32.7,92
30.1,90
41.4,34
19.9,12
39.4,48
33.8,93
17.3,16
38.2,33
24.9,43
28.4,17
35.7,74
34.9,13
30.7,86
19.3,80
46.3,37
28.9,49
27.3,86
41.8,38
19.5,21
46.6,67
32.7,13
42.0,41
16.5,89
19.2,13
42.2,42
33.3,52
24.0,48
22.9,69
27.8,16
15.9,42
17.6,25
16.4,77
34.3,32
49.4,17
18.5,90
45.4,92
33.3,46
28.2,33
41.7,57
32.7,34
45.5,76
30.3,35
48.0,77
34.6,23
43.8,42
41.1,13
41.2,38
28.7,36
47.6,64
39.5,52
35.4,95
33.2,56
30.4,24
20.2,45
17.9,79
29.8,20
25.4,18
38.3,51
42.9,31
35.6,46
35.8,22
33.3,39
25.4,83
22.5,88
48.0,34
19.2,41
31.4,81
34.4,62
29.8,12
48.8,17
30.0,27
49.1,19
46.9,85
29.7,93
32.2,88
41.0,37
40.0,84
39.0,80
34.5,31
